note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar,source_keyword
5147094249381408,妈妈给我带的甜瓜和西红柿还有煮的栗子，蹭的lyh她对象给她买的奶皮子和手抓饼哈哈哈（其实是今天下午骗我给她对象俩买的蜜雪冰城…然后给我买的奶皮子和饼） ,1742675160,2025-03-22 20:26:00+08:00,0,0,0,1742648106557,https://m.weibo.cn/detail/5147094249381408,山东,7276492821,恩多麻烦事,f,https://m.weibo.cn/u/7276492821?,"https://tvax4.sinaimg.cn/crop.0.0.1062.1062.180/007Wrqbrly8hh3n8h3rruj30ti0tiac9.jpg?KID=imgbed,tva&Expires=1742658906&ssig=kQEy0wD3IF",蜜雪冰城
5147094222898744,蜜雪冰城最不该把那个喝起来臭臭的绿茶下架了 ,1742675154,2025-03-22 20:25:54+08:00,0,0,0,1742648106558,https://m.weibo.cn/detail/5147094222898744,河南,6450897589,土豆丸丸好运连连,f,https://m.weibo.cn/u/6450897589?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0072zj9jly8hxihc7zh0nj30u00u00ym.jpg?KID=imgbed,tva&Expires=1742658906&ssig=niy5ZNilVu",蜜雪冰城
5147093979890629,我，想点一杯网上说的四块钱一杯有真柠檬片的柠檬水。  店员，其他地区四块，上海五块，就是菜单上的“冰鲜柠檬水”  我，好的好的，就点一杯这个，少冰少糖。 然后用了碰一碰支付，两元优惠立减，最后实际付款三元。  人生第一杯蜜雪冰城，心里默念“为了让柠檬片不隔夜，而点单” ...全文,1742675096,2025-03-22 20:24:56+08:00,0,0,0,1742648106560,https://m.weibo.cn/detail/5147093979890629,上海,2585135222,周末厨房,f,https://m.weibo.cn/u/2585135222?,"https://tva1.sinaimg.cn/crop.0.0.936.936.180/9a160876jw8ek8v2cl0s5j20q00q0jt9.jpg?KID=imgbed,tva&Expires=1742658906&ssig=RwS8Sr6xfw",蜜雪冰城
5147093849606518,那妳告诉我，我用AI创作的歌曲版权归谁？归AI吗？可是我已经付费使用AI了，相当于获得了使用AI创作的权限，在AI创作的基础上，我还可以继续二创，三创，四创....那你说说，我有没有这首歌的版权？其实一谈论到『版权』这两个字，无非就是在谈论『名利』。我说过，知识产权固然重要，但要用对地方 ...全文,1742675065,2025-03-22 20:24:25+08:00,0,0,0,1742648106561,https://m.weibo.cn/detail/5147093849606518,重庆,7383248835,无所来去只相似,f,https://m.weibo.cn/u/7383248835?,"https://tvax2.sinaimg.cn/crop.0.0.720.720.180/0083FmiDly8hbn7ykait5j30k00k0jsi.jpg?KID=imgbed,tva&Expires=1742658906&ssig=j1%2FKgVGKXy",蜜雪冰城
5147094948774438,今天的坏心情是蜜雪冰城给的 So？我有点百香果吗？我的山楂莓莓去哪儿了？我请问呢？态度不好就算了 315也没跟你计较 自提当着我的面装都能给我装错 还漏装了 ,1742675326,2025-03-22 20:28:46+08:00,0,2,0,1742648124799,https://m.weibo.cn/detail/5147094948774438,浙江,7852716003,锅锅_有自己的想法,f,https://m.weibo.cn/u/7852716003?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008zrc9Jly8hz9kbjk1frj30u00u00w6.jpg?KID=imgbed,tva&Expires=1742658924&ssig=kkgTXeS6S5",蜜雪冰城
5147046765400586,啊啊啊啊啊误食了蜜雪冰城奥利奥圣代 ,1742663839,2025-03-22 17:17:19+08:00,29,11,0,1742648124808,https://m.weibo.cn/detail/5147046765400586,北京,5866722700,俺八段酱,f,https://m.weibo.cn/u/5866722700?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006p2azGly8gdb70mhf6dj30u00u0myt.jpg?KID=imgbed,tva&Expires=1742658924&ssig=T3xMSQ4Anc",蜜雪冰城
5147094378091632,溜着溜着突然想喝蜜雪冰城的满杯百香果，这肥减不了一点服了 ,1742675191,2025-03-22 20:26:31+08:00,0,0,0,1742648124812,https://m.weibo.cn/detail/5147094378091632,河北,7748183113,Oraliberty,f,https://m.weibo.cn/u/7748183113?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/008smAnnly8hzk8ld49wlj30e80e8gly.jpg?KID=imgbed,tva&Expires=1742658924&ssig=GUSJe2v7Lt",蜜雪冰城
5147094249381408,妈妈给我带的甜瓜和西红柿还有煮的栗子，蹭的lyh她对象给她买的奶皮子和手抓饼哈哈哈（其实是今天下午骗我给她对象俩买的蜜雪冰城…然后给我买的奶皮子和饼） ,1742675160,2025-03-22 20:26:00+08:00,0,0,0,1742648124813,https://m.weibo.cn/detail/5147094249381408,山东,7276492821,恩多麻烦事,f,https://m.weibo.cn/u/7276492821?,"https://tvax4.sinaimg.cn/crop.0.0.1062.1062.180/007Wrqbrly8hh3n8h3rruj30ti0tiac9.jpg?KID=imgbed,tva&Expires=1742658924&ssig=0dxYfPB9BI",蜜雪冰城
5147094222898744,蜜雪冰城最不该把那个喝起来臭臭的绿茶下架了 ,1742675154,2025-03-22 20:25:54+08:00,0,0,0,1742648124814,https://m.weibo.cn/detail/5147094222898744,河南,6450897589,土豆丸丸好运连连,f,https://m.weibo.cn/u/6450897589?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0072zj9jly8hxihc7zh0nj30u00u00ym.jpg?KID=imgbed,tva&Expires=1742658924&ssig=d2DknxUd9N",蜜雪冰城
5147093979890629,我，想点一杯网上说的四块钱一杯有真柠檬片的柠檬水。  店员，其他地区四块，上海五块，就是菜单上的“冰鲜柠檬水”  我，好的好的，就点一杯这个，少冰少糖。 然后用了碰一碰支付，两元优惠立减，最后实际付款三元。  人生第一杯蜜雪冰城，心里默念“为了让柠檬片不隔夜，而点单” ...全文,1742675096,2025-03-22 20:24:56+08:00,0,0,0,1742648124816,https://m.weibo.cn/detail/5147093979890629,上海,2585135222,周末厨房,f,https://m.weibo.cn/u/2585135222?,"https://tva1.sinaimg.cn/crop.0.0.936.936.180/9a160876jw8ek8v2cl0s5j20q00q0jt9.jpg?KID=imgbed,tva&Expires=1742658924&ssig=rDt8JEY3iq",蜜雪冰城
